Customer ID,Purchase Date,Product Category,Product Price,Quantity,Total Purchase Amount,Payment Method,Customer Age,Returns,Customer Name,Age,Gender,Churn
46251,9/8/2020 9:38,Electronics,12,3,740,Credit Card,37,0,Christine Hernandez,37,Male,0
46251,3/5/2022 12:56,Home,468,4,2739,PayPal,37,0,Christine Hernandez,37,Male,0
46251,5/23/2022 18:18,Home,288,2,3196,PayPal,37,0,Christine Hernandez,37,Male,0
46251,11/12/2020 13:13,Clothing,196,1,3509,PayPal,37,0,Christine Hernandez,37,Male,0
13593,11/27/2020 17:55,Home,449,1,3452,Credit Card,49,0,James Grant,49,Female,1
13593,3/7/2023 14:17,Home,250,4,575,PayPal,49,1,James Grant,49,Female,1
13593,4/15/2023 3:02,Electronics,73,1,1896,Credit Card,49,0,James Grant,49,Female,1
13593,3/27/2021 21:23,Books,337,2,2937,Cash,49,0,James Grant,49,Female,1
13593,5/5/2020 20:14,Clothing,182,2,3363,PayPal,49,1,James Grant,49,Female,1
28805,9/13/2023 4:24,Electronics,394,2,1993,Credit Card,19,0,Jose Collier,19,Male,0
28805,3/31/2021 9:50,Clothing,366,1,246,PayPal,19,0,Jose Collier,19,Male,0
28805,1/18/2021 22:42,Books,348,1,2682,Credit Card,19,1,Jose Collier,19,Male,0
28805,1/7/2020 12:57,Books,103,4,731,Cash,19,0,Jose Collier,19,Male,0
28805,2/12/2021 20:33,Books,240,1,2563,PayPal,19,0,Jose Collier,19,Male,0
28805,7/2/2020 2:54,Clothing,368,1,1342,Credit Card,19,,Jose Collier,19,Male,0
28961,4/25/2021 23:55,Books,30,1,4135,PayPal,55,,James Stein,55,Male,0
28961,1/13/2020 9:57,Books,153,5,698,Credit Card,55,0,James Stein,55,Male,0
28961,6/18/2023 21:34,Clothing,259,1,2975,Credit Card,55,0,James Stein,55,Male,0
28961,9/10/2021 0:39,Books,489,3,2213,Credit Card,55,1,James Stein,55,Male,0
28961,6/1/2023 19:07,Books,232,3,4452,PayPal,55,1,James Stein,55,Male,0
12163,12/18/2021 17:49,Clothing,255,2,1642,Credit Card,67,,Sonia Moreno,67,Male,0
12163,6/20/2020 5:56,Books,227,3,887,PayPal,67,,Sonia Moreno,67,Male,0
12163,7/8/2023 13:36,Clothing,288,2,1405,PayPal,67,0,Sonia Moreno,67,Male,0
12163,7/1/2023 12:36,Books,60,3,4130,Cash,67,,Sonia Moreno,67,Male,0
12163,11/16/2022 8:56,Home,285,4,384,Crypto,67,,Sonia Moreno,67,Male,0
12163,4/7/2020 4:24,Books,100,5,1273,Cash,67,0,Sonia Moreno,67,Male,0
12163,11/28/2020 16:48,Electronics,28,4,495,Credit Card,67,0,Sonia Moreno,67,Male,0
12163,8/21/2020 9:23,Electronics,382,2,1532,PayPal,67,1,Sonia Moreno,67,Male,0
12163,4/24/2023 23:55,Home,400,5,1673,Credit Card,67,1,Sonia Moreno,67,Male,0
28248,4/9/2023 1:33,Clothing,410,1,445,Cash,48,,Kelly Ramirez,48,Male,1
28248,4/26/2020 21:19,Books,70,5,1037,PayPal,48,0,Kelly Ramirez,48,Male,1
28248,9/12/2023 20:36,Home,243,3,2516,PayPal,48,0,Kelly Ramirez,48,Male,1
28248,6/25/2021 14:52,Home,131,4,2019,PayPal,48,0,Kelly Ramirez,48,Male,1
28248,11/24/2021 7:13,Home,327,1,1496,Cash,48,,Kelly Ramirez,48,Male,1
28248,9/22/2022 17:12,Books,405,3,1687,PayPal,48,1,Kelly Ramirez,48,Male,1
28248,8/3/2021 9:41,Electronics,219,2,468,PayPal,48,0,Kelly Ramirez,48,Male,1
6761,11/29/2021 12:56,Books,218,5,3034,Credit Card,46,0,Johnny Peterson,46,Female,0
6761,11/23/2020 5:27,Clothing,304,4,3110,Cash,46,,Johnny Peterson,46,Female,0
6761,1/8/2020 5:34,Clothing,20,4,3075,PayPal,46,0,Johnny Peterson,46,Female,0
6761,5/10/2021 17:46,Home,400,2,1036,Cash,46,,Johnny Peterson,46,Female,0
17018,6/27/2023 3:47,Home,227,2,1953,Cash,21,1,Jerry Mendoza,21,Male,0
17018,1/17/2022 11:15,Clothing,285,3,4630,Credit Card,21,1,Jerry Mendoza,21,Male,0
17018,3/3/2022 4:41,Books,31,1,268,Credit Card,21,0,Jerry Mendoza,21,Male,0
17018,5/10/2020 0:33,Books,434,4,456,PayPal,21,0,Jerry Mendoza,21,Male,0
17018,12/9/2022 8:32,Home,156,3,3937,Credit Card,21,0,Jerry Mendoza,21,Male,0
17018,4/30/2021 13:16,Clothing,119,3,3967,PayPal,21,,Jerry Mendoza,21,Male,0
17018,6/25/2020 0:15,Electronics,53,4,3729,PayPal,21,1,Jerry Mendoza,21,Male,0
11462,1/12/2020 9:59,Clothing,485,3,509,PayPal,32,1,Cory Wagner,32,Female,0
11462,1/12/2023 7:48,Home,191,4,1785,PayPal,32,,Cory Wagner,32,Female,0
11462,1/4/2022 0:05,Books,31,5,1464,Cash,32,0,Cory Wagner,32,Female,0
11462,8/27/2020 13:27,Home,355,5,1799,Credit Card,32,1,Cory Wagner,32,Female,0
11462,2/27/2023 13:50,Books,284,3,297,Crypto,32,0,Cory Wagner,32,Female,0
11462,4/20/2020 14:48,Clothing,82,5,3439,Cash,32,0,Cory Wagner,32,Female,0
43388,5/14/2020 22:22,Home,370,5,1034,Cash,32,1,Cory Zuniga,32,Female,0
43388,12/2/2020 18:32,Clothing,380,2,840,Credit Card,32,1,Cory Zuniga,32,Female,0
43388,4/20/2022 9:45,Home,365,4,3119,PayPal,32,1,Cory Zuniga,32,Female,0
43388,9/15/2020 14:26,Electronics,394,3,2877,Cash,32,1,Cory Zuniga,32,Female,0
43388,7/7/2023 21:17,Home,20,3,3294,PayPal,32,,Cory Zuniga,32,Female,0
43388,1/20/2022 0:51,Clothing,101,3,4487,Credit Card,32,0,Cory Zuniga,32,Female,0
43388,8/9/2021 4:13,Clothing,337,2,4258,Credit Card,32,0,Cory Zuniga,32,Female,0
43388,2/27/2022 9:50,Clothing,453,4,365,Cash,32,,Cory Zuniga,32,Female,0
39199,1/24/2022 1:55,Books,362,1,1766,Credit Card,46,1,Ashley Shelton,46,Male,0
39199,3/18/2023 9:21,Home,448,2,3260,PayPal,46,1,Ashley Shelton,46,Male,0
39199,8/20/2022 0:03,Books,197,5,2442,Credit Card,46,1,Ashley Shelton,46,Male,0
39199,7/25/2020 7:42,Clothing,21,2,559,PayPal,46,,Ashley Shelton,46,Male,0
39199,12/4/2021 16:00,Clothing,250,2,2630,Cash,46,1,Ashley Shelton,46,Male,0
3843,4/3/2021 10:46,Electronics,441,2,556,Credit Card,43,1,Shelly Higgins,43,Male,0
3843,2/12/2022 17:01,Books,401,3,1996,Crypto,43,1,Shelly Higgins,43,Male,0
3843,3/10/2020 17:38,Electronics,276,3,4997,Credit Card,43,,Shelly Higgins,43,Male,0
3843,5/16/2020 21:10,Books,15,2,1651,PayPal,43,1,Shelly Higgins,43,Male,0
3843,2/11/2022 18:27,Books,164,5,3607,Credit Card,43,1,Shelly Higgins,43,Male,0
49593,12/19/2022 18:27,Home,136,5,3200,PayPal,24,1,Steve Patton,24,Male,1
49593,5/21/2021 20:48,Home,299,2,1171,Crypto,24,0,Steve Patton,24,Male,1
49593,1/8/2022 14:20,Books,196,1,2550,Credit Card,24,0,Steve Patton,24,Male,1
49593,5/1/2021 15:03,Books,227,3,1856,PayPal,24,,Steve Patton,24,Male,1
49593,10/3/2022 23:40,Home,291,2,419,Credit Card,24,1,Steve Patton,24,Male,1
49593,4/3/2022 16:32,Clothing,342,1,337,PayPal,24,0,Steve Patton,24,Male,1
49593,12/12/2021 8:09,Clothing,265,4,4613,PayPal,24,1,Steve Patton,24,Male,1
49593,3/31/2022 22:48,Books,124,2,1848,Crypto,24,0,Steve Patton,24,Male,1
49593,11/27/2021 19:47,Books,388,2,743,Cash,24,,Steve Patton,24,Male,1
49593,12/16/2022 5:11,Home,121,5,4434,PayPal,24,0,Steve Patton,24,Male,1
49593,5/19/2021 16:21,Clothing,124,1,3246,Credit Card,24,0,Steve Patton,24,Male,1
49593,8/17/2022 23:49,Books,18,5,2670,PayPal,24,1,Steve Patton,24,Male,1
34772,11/30/2020 10:39,Home,450,2,1899,Cash,51,1,Kimberly Burgess,51,Male,0
34772,8/18/2020 23:37,Books,313,3,3770,Crypto,51,0,Kimberly Burgess,51,Male,0
34772,12/10/2021 8:34,Electronics,389,3,1722,Cash,51,1,Kimberly Burgess,51,Male,0
34772,11/30/2022 18:46,Clothing,177,5,4684,Credit Card,51,1,Kimberly Burgess,51,Male,0
34772,7/26/2022 19:45,Books,15,5,3060,Credit Card,51,1,Kimberly Burgess,51,Male,0
34772,10/2/2020 12:19,Books,62,2,2786,Credit Card,51,0,Kimberly Burgess,51,Male,0
34772,1/2/2020 16:27,Clothing,63,3,3910,Credit Card,51,,Kimberly Burgess,51,Male,0
34772,6/29/2020 13:01,Clothing,140,2,3469,PayPal,51,1,Kimberly Burgess,51,Male,0
47326,1/24/2023 15:29,Clothing,386,3,802,Cash,39,1,Heather Diaz,39,Male,0
47326,8/25/2022 12:48,Electronics,188,5,2582,PayPal,39,,Heather Diaz,39,Male,0
47326,8/8/2020 16:02,Home,371,1,668,Crypto,39,1,Heather Diaz,39,Male,0
47326,6/23/2023 22:41,Clothing,400,5,1961,PayPal,39,1,Heather Diaz,39,Male,0
47326,4/3/2023 12:12,Clothing,392,2,5168,Cash,39,1,Heather Diaz,39,Male,0
47326,10/14/2021 14:16,Electronics,486,5,3882,Credit Card,39,1,Heather Diaz,39,Male,0
24270,3/1/2021 7:43,Electronics,323,1,3579,Crypto,60,1,Phillip Harris,60,Male,1
24270,1/25/2020 8:55,Books,332,2,5247,PayPal,60,1,Phillip Harris,60,Male,1
24270,10/28/2022 12:24,Clothing,92,2,1792,PayPal,60,0,Phillip Harris,60,Male,1
24270,5/14/2023 22:58,Clothing,495,2,422,Credit Card,60,0,Phillip Harris,60,Male,1
24270,6/19/2023 17:24,Clothing,127,3,4642,Credit Card,60,1,Phillip Harris,60,Male,1
25638,11/13/2022 5:57,Books,289,3,926,PayPal,64,,Eric Huynh,64,Female,0
25638,1/30/2021 12:30,Clothing,79,5,1470,Credit Card,64,1,Eric Huynh,64,Female,0
25638,2/2/2023 11:25,Books,294,3,1614,PayPal,64,0,Eric Huynh,64,Female,0
25638,7/12/2021 21:34,Electronics,364,2,4962,Credit Card,64,,Eric Huynh,64,Female,0
25638,12/18/2021 0:23,Home,133,4,4823,PayPal,64,1,Eric Huynh,64,Female,0
44610,12/21/2022 17:26,Clothing,291,5,3628,Crypto,68,0,Jennifer Cruz,68,Male,0
44610,5/8/2023 4:11,Clothing,16,4,3605,Credit Card,68,0,Jennifer Cruz,68,Male,0
44610,1/4/2021 18:47,Electronics,348,1,1752,Credit Card,68,1,Jennifer Cruz,68,Male,0
44610,11/19/2021 17:40,Clothing,212,4,3156,Credit Card,68,1,Jennifer Cruz,68,Male,0
44610,10/8/2022 14:22,Home,90,3,4768,Credit Card,68,1,Jennifer Cruz,68,Male,0
44610,5/30/2020 14:16,Books,46,2,1738,Credit Card,68,,Jennifer Cruz,68,Male,0
42239,1/27/2022 22:49,Home,39,2,5118,Crypto,67,1,Brian Ross,67,Male,0
42239,2/15/2023 17:11,Clothing,424,1,1683,Cash,67,,Brian Ross,67,Male,0
42239,2/7/2023 13:42,Clothing,229,2,4546,PayPal,67,0,Brian Ross,67,Male,0
42239,3/4/2020 4:39,Home,127,2,5015,Cash,67,,Brian Ross,67,Male,0
42239,4/26/2020 22:09,Home,113,2,734,PayPal,67,0,Brian Ross,67,Male,0
42239,10/25/2020 1:16,Clothing,129,5,1839,PayPal,67,1,Brian Ross,67,Male,0
36664,3/6/2021 6:25,Books,404,5,1950,Cash,22,1,Scott Calhoun,22,Female,1
